Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
deo-nigelle-20g,Déo Nigelle — Petit pot 20 g,"<p><strong>Le déo naturel à l'huile de nigelle (حبة البركة).</strong> 5 ingrédients, 0 aluminium, 0 alcool. Petit pot de 20 g, environ 6 semaines. Fabriqué au Maroc.</p><p>La sueur ne sent rien : ce sont les bactéries de la peau qui la transforment en odeur. L'huile de nigelle limite ces bactéries, la fécule de maïs absorbe l'humidité et le bicarbonate neutralise ce qui reste. Tu transpires, mais tu ne sens pas.</p><ul><li>100 % d'origine naturelle</li><li>Sans sel d'aluminium, sans alcool, sans parabènes</li><li>Formule qui tient la chaleur</li><li>Défi 7 jours : pas convaincu, on te rembourse sans renvoyer le pot</li></ul><h3>Mode d'emploi</h3><ol><li>Prélève une noisette (la taille d'un pois chiche).</li><li>Chauffe-la 2 secondes entre les doigts.</li><li>Applique sous chaque aisselle, sur peau propre et sèche.</li><li>Attends 30 secondes avant de t'habiller.</li></ol><p>S'il est arrivé mou (chaleur), 10 minutes au frigo et il reprend sa forme. Il reste aussi efficace.</p><h3>Composition</h3><p>Nigella Sativa Seed Oil, Zea Mays Starch, Cocos Nucifera Oil, Cera Alba, Sodium Bicarbonate, parfum d'origine naturelle selon le parfum. Version Peau sensible : sans bicarbonate, sans parfum.</p><h3>Livraison et paiement</h3><p>Livraison partout au Maroc : 30 DH à Casablanca et Rabat, 40 DH ailleurs, <strong>offerte dès 199 DH</strong>. Paiement à la livraison. Un conseiller te contacte sur WhatsApp pour confirmer avant l'envoi.</p>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Déodorant,"déodorant, nigelle, habba sawda, naturel, sans aluminium, maroc",FALSE,Parfum,Musc,,,,,EXO-MA-MUS-20,70,shopify,0,deny,manual,79.00,,TRUE,TRUE,,,,,FALSE,"Déo Nigelle Exody 20 g — Déodorant naturel à la nigelle, fabriqué au Maroc","Déodorant naturel à l'huile de nigelle, 5 ingrédients, sans aluminium. Petit pot 20 g, 79 DH. Livraison partout au Maroc, paiement à la livraison.",draft
deo-nigelle-20g,,,,,,,,Parfum,Agrumes,,,,,EXO-MA-AGR-20,70,shopify,0,deny,manual,79.00,,TRUE,TRUE,,,,,,,,
deo-nigelle-20g,,,,,,,,Parfum,Vanille,,,,,EXO-MA-VAN-20,70,shopify,0,deny,manual,79.00,,TRUE,TRUE,,,,,,,,
deo-nigelle-20g,,,,,,,,Parfum,Coco,,,,,EXO-MA-COC-20,70,shopify,0,deny,manual,79.00,,TRUE,TRUE,,,,,,,,
deo-nigelle-20g,,,,,,,,Parfum,Monoï,,,,,EXO-MA-MON-20,70,shopify,0,deny,manual,79.00,,TRUE,TRUE,,,,,,,,
deo-nigelle-20g,,,,,,,,Parfum,Peau sensible,,,,,EXO-MA-SEN-20,70,shopify,0,deny,manual,79.00,,TRUE,TRUE,,,,,,,,
pack-duo,Pack Duo — 2 petits pots,"<p>2 petits pots de 20 g dans les parfums de ton choix.</p><p>Le choix des parfums se fait sur la page produit (app Shopify Bundles ou formulaire de commande).</p><h3>Mode d'emploi</h3><ol><li>Prélève une noisette (la taille d'un pois chiche).</li><li>Chauffe-la 2 secondes entre les doigts.</li><li>Applique sous chaque aisselle, sur peau propre et sèche.</li><li>Attends 30 secondes avant de t'habiller.</li></ol><p>S'il est arrivé mou (chaleur), 10 minutes au frigo et il reprend sa forme. Il reste aussi efficace.</p><h3>Livraison et paiement</h3><p>Livraison partout au Maroc : 30 DH à Casablanca et Rabat, 40 DH ailleurs, <strong>offerte dès 199 DH</strong>. Paiement à la livraison. Un conseiller te contacte sur WhatsApp pour confirmer avant l'envoi.</p>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Pack,"pack, déodorant, nigelle, maroc, livraison offerte",FALSE,Title,Default Title,,,,,EXO-MA-DUO,150,shopify,0,deny,manual,139.00,158.00,TRUE,TRUE,,,,,FALSE,Pack Duo — 2 petits pots — Exody,"Pack de déodorants naturels à la nigelle Exody, fabriqué au Maroc. Livraison offerte, paiement à la livraison.",draft
pack-trio,"Pack Trio — 3 petits pots, livraison offerte","<p>3 petits pots de 20 g dans les parfums de ton choix. Environ 4 mois de déo. Livraison offerte.</p><p>Le choix des parfums se fait sur la page produit (app Shopify Bundles ou formulaire de commande).</p><h3>Mode d'emploi</h3><ol><li>Prélève une noisette (la taille d'un pois chiche).</li><li>Chauffe-la 2 secondes entre les doigts.</li><li>Applique sous chaque aisselle, sur peau propre et sèche.</li><li>Attends 30 secondes avant de t'habiller.</li></ol><p>S'il est arrivé mou (chaleur), 10 minutes au frigo et il reprend sa forme. Il reste aussi efficace.</p><h3>Livraison et paiement</h3><p>Livraison partout au Maroc : 30 DH à Casablanca et Rabat, 40 DH ailleurs, <strong>offerte dès 199 DH</strong>. Paiement à la livraison. Un conseiller te contacte sur WhatsApp pour confirmer avant l'envoi.</p>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Pack,"pack, déodorant, nigelle, maroc, livraison offerte",FALSE,Title,Default Title,,,,,EXO-MA-TRIO,220,shopify,0,deny,manual,199.00,237.00,TRUE,TRUE,,,,,FALSE,"Pack Trio — 3 petits pots, livraison offerte — Exody","Pack de déodorants naturels à la nigelle Exody, fabriqué au Maroc. Livraison offerte, paiement à la livraison.",draft
pack-5-parfums,Pack 5 parfums — livraison offerte,"<p>Musc, Agrumes, Vanille, Coco, Monoï : les 5 parfums en petits pots de 20 g. Livraison offerte.</p><p>Le choix des parfums se fait sur la page produit (app Shopify Bundles ou formulaire de commande).</p><h3>Mode d'emploi</h3><ol><li>Prélève une noisette (la taille d'un pois chiche).</li><li>Chauffe-la 2 secondes entre les doigts.</li><li>Applique sous chaque aisselle, sur peau propre et sèche.</li><li>Attends 30 secondes avant de t'habiller.</li></ol><p>S'il est arrivé mou (chaleur), 10 minutes au frigo et il reprend sa forme. Il reste aussi efficace.</p><h3>Livraison et paiement</h3><p>Livraison partout au Maroc : 30 DH à Casablanca et Rabat, 40 DH ailleurs, <strong>offerte dès 199 DH</strong>. Paiement à la livraison. Un conseiller te contacte sur WhatsApp pour confirmer avant l'envoi.</p>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Pack,"pack, déodorant, nigelle, maroc, livraison offerte",FALSE,Title,Default Title,,,,,EXO-MA-5,360,shopify,0,deny,manual,299.00,395.00,TRUE,TRUE,,,,,FALSE,Pack 5 parfums — livraison offerte — Exody,"Pack de déodorants naturels à la nigelle Exody, fabriqué au Maroc. Livraison offerte, paiement à la livraison.",draft
pack-peau-sensible,"Pack Peau sensible — 3 petits pots, livraison offerte","<p>3 petits pots Peau sensible 20 g : sans bicarbonate, sans parfum, sans huile essentielle. Livraison offerte.</p><p>Le choix des parfums se fait sur la page produit (app Shopify Bundles ou formulaire de commande).</p><h3>Mode d'emploi</h3><ol><li>Prélève une noisette (la taille d'un pois chiche).</li><li>Chauffe-la 2 secondes entre les doigts.</li><li>Applique sous chaque aisselle, sur peau propre et sèche.</li><li>Attends 30 secondes avant de t'habiller.</li></ol><p>S'il est arrivé mou (chaleur), 10 minutes au frigo et il reprend sa forme. Il reste aussi efficace.</p><h3>Livraison et paiement</h3><p>Livraison partout au Maroc : 30 DH à Casablanca et Rabat, 40 DH ailleurs, <strong>offerte dès 199 DH</strong>. Paiement à la livraison. Un conseiller te contacte sur WhatsApp pour confirmer avant l'envoi.</p>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Pack,"pack, déodorant, nigelle, maroc, livraison offerte",FALSE,Title,Default Title,,,,,EXO-MA-SEN3,220,shopify,0,deny,manual,199.00,237.00,TRUE,TRUE,,,,,FALSE,"Pack Peau sensible — 3 petits pots, livraison offerte — Exody","Pack de déodorants naturels à la nigelle Exody, fabriqué au Maroc. Livraison offerte, paiement à la livraison.",draft
