Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
deo-nigelle,Déo Nigelle — Baume déodorant naturel 50 g,"<p><strong>Le déo naturel à l'huile de nigelle.</strong> 5 ingrédients, 0 sel d'aluminium, 0 alcool. Un baume de 50 g qui dure environ 3 mois. Fabriqué en France.</p><p>La sueur ne sent rien : ce sont les bactéries de la peau qui la transforment en odeur. L'huile de nigelle limite ces bactéries, la fécule de maïs absorbe l'humidité et le bicarbonate neutralise ce qui reste. Tu transpires, mais tu ne sens pas.</p><ul><li>100 % d'origine naturelle</li><li>Sans sel d'aluminium, sans alcool, sans parabènes, sans huile de palme</li><li>1 pot = 3 mois</li><li>Fabriqué en France, pot recyclable, étui carton recyclé</li><li>Défi 7 jours : pas convaincu, on te rembourse sans renvoyer le pot</li></ul><h3>Mode d'emploi</h3><ol><li>Prélève une noisette (la taille d'un petit pois).</li><li>Chauffe-la 2 secondes entre les doigts.</li><li>Applique sous chaque aisselle, sur peau propre et sèche.</li><li>Attends 30 secondes avant de t'habiller.</li></ol><h3>Composition</h3><p>Nigella Sativa Seed Oil*, Zea Mays Starch, Cocos Nucifera Oil*, Cera Alba, Sodium Bicarbonate, parfum d'origine naturelle selon le parfum. *Issu de l'agriculture biologique.</p><p>La version Peau sensible ne contient ni bicarbonate, ni parfum, ni huile essentielle.</p>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Déodorant,"déodorant, nigelle, naturel, sans aluminium, made in france, baume",FALSE,Parfum,Musc,,,,,EXO-MUS-50,120,shopify,0,deny,manual,12.90,,TRUE,TRUE,,,,,FALSE,Déo Nigelle Exody — Déodorant naturel à l'huile de nigelle 50 g,"Baume déodorant naturel à l'huile de nigelle, 5 ingrédients, sans sel d'aluminium. 1 pot = 3 mois. Fabriqué en France. 6 parfums.",draft
deo-nigelle,,,,,,,,Parfum,Agrumes,,,,,EXO-AGR-50,120,shopify,0,deny,manual,12.90,,TRUE,TRUE,,,,,,,,
deo-nigelle,,,,,,,,Parfum,Vanille,,,,,EXO-VAN-50,120,shopify,0,deny,manual,12.90,,TRUE,TRUE,,,,,,,,
deo-nigelle,,,,,,,,Parfum,Coco,,,,,EXO-COC-50,120,shopify,0,deny,manual,12.90,,TRUE,TRUE,,,,,,,,
deo-nigelle,,,,,,,,Parfum,Monoï,,,,,EXO-MON-50,120,shopify,0,deny,manual,12.90,,TRUE,TRUE,,,,,,,,
deo-nigelle,,,,,,,,Parfum,Peau sensible,,,,,EXO-SEN-50,120,shopify,0,deny,manual,12.90,,TRUE,TRUE,,,,,,,,
mini-deo-nigelle,Mini Déo Nigelle 15 g,"<p>Le même baume à l'huile de nigelle, en format voyage ou découverte. 15 g, environ 3 semaines.</p><h3>Mode d'emploi</h3><ol><li>Prélève une noisette (la taille d'un petit pois).</li><li>Chauffe-la 2 secondes entre les doigts.</li><li>Applique sous chaque aisselle, sur peau propre et sèche.</li><li>Attends 30 secondes avant de t'habiller.</li></ol><h3>Composition</h3><p>Nigella Sativa Seed Oil*, Zea Mays Starch, Cocos Nucifera Oil*, Cera Alba, Sodium Bicarbonate, parfum d'origine naturelle selon le parfum. *Issu de l'agriculture biologique.</p>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Déodorant,"déodorant, nigelle, mini, voyage",FALSE,Parfum,Musc,,,,,EXO-MUS-15,40,shopify,0,deny,manual,5.90,,TRUE,TRUE,,,,,FALSE,Mini Déo Nigelle Exody 15 g — format voyage,"Le déo naturel à la nigelle en format 15 g pour voyager ou tester. Sans sel d'aluminium, fabriqué en France.",draft
mini-deo-nigelle,,,,,,,,Parfum,Agrumes,,,,,EXO-AGR-15,40,shopify,0,deny,manual,5.90,,TRUE,TRUE,,,,,,,,
mini-deo-nigelle,,,,,,,,Parfum,Vanille,,,,,EXO-VAN-15,40,shopify,0,deny,manual,5.90,,TRUE,TRUE,,,,,,,,
mini-deo-nigelle,,,,,,,,Parfum,Coco,,,,,EXO-COC-15,40,shopify,0,deny,manual,5.90,,TRUE,TRUE,,,,,,,,
mini-deo-nigelle,,,,,,,,Parfum,Monoï,,,,,EXO-MON-15,40,shopify,0,deny,manual,5.90,,TRUE,TRUE,,,,,,,,
mini-deo-nigelle,,,,,,,,Parfum,Peau sensible,,,,,EXO-SEN-15,40,shopify,0,deny,manual,5.90,,TRUE,TRUE,,,,,,,,
huile-de-nigelle-bio-100ml,Huile de nigelle bio 100 ml,"<p>Huile de nigelle (Nigella sativa) bio, pressée à froid. En soin de la peau, des cheveux et du cuir chevelu. Flacon verre 100 ml avec pipette.</p><h3>Composition</h3><p>Nigella Sativa Seed Oil*. *Issu de l'agriculture biologique.</p>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Huile,"nigelle, huile, bio, soin",FALSE,Title,Default Title,,,,,EXO-HUI-100,200,shopify,0,deny,manual,14.90,,TRUE,TRUE,,,,,FALSE,Huile de nigelle bio 100 ml — Exody,"Huile de nigelle bio pressée à froid, 100 ml. Peau, cheveux, cuir chevelu.",draft
pack-duo,Pack Duo — 2 déos au choix,"<p>2 pots de Déo Nigelle 50 g dans les parfums de ton choix. Pour hésiter moins longtemps.</p><p>Le choix des parfums se fait sur la page produit (app Shopify Bundles).</p><h3>Mode d'emploi</h3><ol><li>Prélève une noisette (la taille d'un petit pois).</li><li>Chauffe-la 2 secondes entre les doigts.</li><li>Applique sous chaque aisselle, sur peau propre et sèche.</li><li>Attends 30 secondes avant de t'habiller.</li></ol>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Pack,"pack, déodorant, nigelle, bon plan",FALSE,Title,Default Title,,,,,EXO-PACK-DUO,260,shopify,0,deny,manual,24.90,25.80,TRUE,TRUE,,,,,FALSE,Pack Duo — 2 déos au choix — Exody,"Pack de déodorants naturels à l'huile de nigelle Exody, fabriqué en France. Livraison offerte dès 35 €.",draft
pack-decouverte,Pack Découverte — 2 déos + huile de nigelle,"<p>2 pots de Déo Nigelle 50 g au choix + 1 huile de nigelle bio 100 ml. Toute la nigelle Exody en un colis.</p><p>Le choix des parfums se fait sur la page produit (app Shopify Bundles).</p><h3>Mode d'emploi</h3><ol><li>Prélève une noisette (la taille d'un petit pois).</li><li>Chauffe-la 2 secondes entre les doigts.</li><li>Applique sous chaque aisselle, sur peau propre et sèche.</li><li>Attends 30 secondes avant de t'habiller.</li></ol>",Exody,Health & Beauty > Personal Care > Cosmetics > Bath & Body > Deodorant & Anti-Perspirant,Pack,"pack, déodorant, nigelle, bon plan",FALSE,Title,Default Title,,,,,EXO-PACK-DEC,480,shopify,0,deny,manual,34.90,40.70,TRUE,TRUE,,,,,FALSE,Pack Découverte — 2 déos + huile de nigelle — Exody,"Pack de déodorants naturels à l'huile de nigelle Exody, fabriqué en France. Livraison offerte dès 35 €.",draft
